classifier_type,features,extraction_time,training_time,prediction_time,training_sample_count
LinearSVC,"Horizontal profile,Vertical profile",3.263775110244751,20.06190252304077,0.0032923221588134766,48000
LinearSVC,"Full image",3.2854790687561035,2233.9642815589905,0.02715754508972168,48000
KNeighbors[k=5],"Horizontal profile,Vertical profile",3.2757251262664795,0.0043697357177734375,21.96791911125183,48000
KNeighbors[k=3],"Horizontal profile,Vertical profile",3.287825584411621,0.004244565963745117,19.438333749771118,48000
KNeighbors[k=3],"Full image",2.9605369567871094,0.023581266403198242,34.40481090545654,48000
KNeighbors[k=5],"Full image",2.980971574783325,0.024118900299072266,35.14951038360596,48000
KNeighbors[k=3],"Horizontal profile,Vertical profile,Full image",4.33396577835083,0.0528261661529541,25.849671840667725,48000
KNeighbors[k=5],"Horizontal profile,Vertical profile,Full image",4.206242322921753,0.02521347999572754,21.34343671798706,48000
MLP,"Horizontal profile,Vertical profile",3.25416898727417,120.05800676345825,0.02395319938659668,48000
MLP,"Full image",2.9936702251434326,75.39584445953369,0.07261276245117188,48000
